event_time,event_type,wallet_value,cash,locked_stake
,start,1000.0,1000.0,0.0
2026-03-29 04:38:26+00:00,resolution,1675.785826086972,1594.8864938138888,80.89933227308329
2026-03-29 21:00:00+00:00,entry,1000.0,900.0,100.0
2026-03-29 21:00:00+00:00,entry,1000.0,883.9181286549707,116.08187134502924
2026-03-29 21:00:00+00:00,entry,999.9999999999999,863.6662566331871,136.33374336681277
2026-03-29 21:00:00+00:00,entry,999.9999999999999,832.4314486604112,167.56855133958865
2026-03-29 21:00:00+00:00,entry,999.9999999999998,801.1966406876353,198.80335931236453
2026-03-29 21:00:00+00:00,entry,999.9999999999999,779.391366853964,220.6086331460359
2026-03-29 21:00:00+00:00,entry,999.9999999999999,766.0777573865083,233.92224261349153
2026-03-29 21:00:00+00:00,entry,999.9999999999999,729.5502431550093,270.4497568449906
2026-03-29 21:00:00+00:00,entry,999.9999999999999,705.7945870464121,294.2054129535878
2026-03-29 21:00:00+00:00,entry,999.9999999999999,667.559292928765,332.4407070712349
2026-03-29 21:00:00+00:00,entry,999.9999999999998,657.9439083133803,342.0560916866195
2026-03-29 21:00:00+00:00,entry,999.9999999999998,647.1783580741459,352.82164192585395
2026-03-29 21:00:00+00:00,entry,999.9999999999999,627.0634155454103,372.9365844545896
2026-03-29 21:00:00+00:00,entry,999.9999999999999,607.2424436784027,392.75755632159724
2026-03-29 21:00:00+00:00,entry,999.9999999999999,507.24244367840265,492.75755632159724
2026-03-29 21:00:00+00:00,entry,999.9999999999999,483.16396567602453,516.8360343239754
2026-03-29 21:00:00+00:00,entry,999.9999999999999,455.90095783568245,544.0990421643174
2026-03-29 21:00:00+00:00,entry,999.9999999999999,448.5288040469553,551.4711959530446
2026-03-29 21:00:00+00:00,entry,999.9999999999999,348.5288040469553,651.4711959530446
2026-03-29 21:00:00+00:00,entry,999.9999999999999,248.52880404695532,751.4711959530446
2026-03-29 21:00:00+00:00,entry,999.9999999999999,236.70805598767515,763.2919440123247
2026-03-29 21:00:00+00:00,entry,999.9999999999999,136.70805598767515,863.2919440123247
2026-03-29 21:00:00+00:00,entry,999.9999999999999,36.70805598767515,963.2919440123247
2026-03-29 21:00:00+00:00,entry,999.9999999999999,0.0,999.9999999999999
2026-03-30 01:45:46+00:00,resolution,1004.7120418848167,104.71204188481676,899.9999999999999
2026-03-30 07:18:42+00:00,resolution,988.6301705397873,104.71204188481676,883.9181286549706
2026-03-30 07:19:48+00:00,resolution,968.3782985180039,104.71204188481676,863.6662566331871
2026-03-30 12:25:36+00:00,resolution,937.1434905452279,104.71204188481676,832.4314486604112
2026-03-30 12:25:38+00:00,resolution,905.9086825724521,104.71204188481676,801.1966406876354
2026-03-30 15:23:35+00:00,resolution,884.1034087387807,104.71204188481676,779.391366853964
2026-03-30 15:35:39+00:00,resolution,870.7897992713251,104.71204188481676,766.0777573865083
2026-03-30 15:51:49+00:00,resolution,834.2622850398261,104.71204188481676,729.5502431550093
2026-03-30 16:05:03+00:00,resolution,810.5066289312288,104.71204188481676,705.7945870464121
2026-03-30 16:53:19+00:00,resolution,772.2713348135817,104.71204188481676,667.559292928765
2026-03-30 19:55:13+00:00,resolution,782.6880014802484,124.74409316686805,657.9439083133803
2026-03-30 20:05:09+00:00,resolution,771.9224512410141,124.74409316686805,647.178358074146
2026-03-30 20:31:07+00:00,resolution,906.5378358563986,279.4744203109883,627.0634155454103
2026-03-30 21:00:00+00:00,entry,906.5378358563986,259.0686356916153,647.4692001647833
2026-03-30 21:00:00+00:00,entry,906.5378358563986,168.41485210597546,738.1229837504231
2026-03-30 21:00:00+00:00,entry,906.5378358563986,156.03565896928092,750.5021768871177
2026-03-30 21:00:00+00:00,entry,906.5378358563986,65.38187538364105,841.1559604727576
2026-03-30 21:00:00+00:00,entry,906.5378358563986,54.589758290112485,851.9480775662861
2026-03-30 21:00:00+00:00,entry,906.5378358563986,38.92901694386429,867.6088189125343
2026-03-30 21:00:00+00:00,entry,906.5378358563986,0.0,906.5378358563986
2026-03-30 21:20:35+00:00,resolution,886.716863989391,0.0,886.716863989391
2026-03-30 22:44:37+00:00,resolution,900.3532276257546,113.63636363636364,786.716863989391
2026-03-30 22:47:47+00:00,resolution,963.832851450206,201.19446546319315,762.6383859870128
2026-03-30 22:54:37+00:00,resolution,936.5698436098639,201.19446546319315,735.3753781466708
2026-03-30 22:55:31+00:00,resolution,929.1976898211368,201.19446546319315,728.0032243579436
2026-03-30 22:56:15+00:00,resolution,957.361682691012,429.35845833306837,528.0032243579436
2026-03-31 04:15:41+00:00,resolution,1009.8337002836853,502.23626054511465,507.59743973857064
2026-03-31 04:37:57+00:00,resolution,1023.9819786467621,607.0383224938313,416.94365615293077
2026-03-31 04:56:45+00:00,resolution,1011.6027855100675,607.0383224938313,404.56446301623623
