market_id,entry_time,end_time,closed_time,resolution_time,side,stake,settle_value,pnl,market_price,model_prob,edge,kelly_raw,bet_fraction,sizing_method,cash_before_entry,wallet_before_entry,outcome_yes,cash_after_resolution,roi_on_stake
1672107,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 01:45:46+00:00,2026-03-30 01:45:46+00:00,YES,100.0,104.71204188481676,4.712041884816756,0.955,1.0,0.04500000000000004,1.0,0.1,fractional_kelly,1000.0,1000.0,1,104.71204188481676,0.04712041884816756
1691456,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 07:18:42+00:00,2026-03-30 07:18:42+00:00,YES,16.081871345029246,0.0,-16.081871345029246,0.145,0.2,0.05500000000000002,0.06432748538011698,0.016081871345029246,fractional_kelly,900.0,1000.0,0,104.71204188481676,-1.0
1772613,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 07:19:48+00:00,2026-03-30 07:19:48+00:00,YES,20.251872021783534,0.0,-20.251872021783534,0.435,0.4807692307692308,0.045769230769230784,0.08100748808713414,0.020251872021783534,fractional_kelly,883.9181286549707,1000.0,0,104.71204188481676,-1.0
1730595,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 12:25:36+00:00,2026-03-30 12:25:36+00:00,NO,31.234807972775872,0.0,-31.234807972775872,0.605,0.5294117647058824,-0.07558823529411762,0.12493923189110351,0.031234807972775877,fractional_kelly,863.6662566331871,999.9999999999999,1,104.71204188481676,-1.0
1730596,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 12:25:38+00:00,2026-03-30 12:25:38+00:00,NO,31.234807972775872,0.0,-31.234807972775872,0.605,0.5294117647058824,-0.07558823529411762,0.12493923189110351,0.031234807972775877,fractional_kelly,832.4314486604112,999.9999999999999,1,104.71204188481676,-1.0
1732971,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 15:23:35+00:00,2026-03-30 15:23:35+00:00,NO,21.80527383367138,0.0,-21.80527383367138,0.58,0.5294117647058824,-0.0505882352941176,0.08722109533468553,0.021805273833671382,fractional_kelly,801.1966406876353,999.9999999999998,1,104.71204188481676,-1.0
1730640,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 15:35:39+00:00,2026-03-30 15:35:39+00:00,YES,13.313609467455624,0.0,-13.313609467455624,0.155,0.2,0.04500000000000001,0.0532544378698225,0.013313609467455625,fractional_kelly,779.391366853964,999.9999999999999,0,104.71204188481676,-1.0
1732993,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 15:51:49+00:00,2026-03-30 15:51:49+00:00,NO,36.52751423149904,0.0,-36.52751423149904,0.62,0.5294117647058824,-0.09058823529411764,0.14611005692599618,0.036527514231499046,fractional_kelly,766.0777573865083,999.9999999999999,1,104.71204188481676,-1.0
1732970,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 16:05:03+00:00,2026-03-30 16:05:03+00:00,NO,23.755656108597268,0.0,-23.755656108597268,0.585,0.5294117647058824,-0.055588235294117605,0.09502262443438908,0.02375565610859727,fractional_kelly,729.5502431550093,999.9999999999999,1,104.71204188481676,-1.0
1732994,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 16:53:19+00:00,2026-03-30 16:53:19+00:00,NO,38.23529411764705,0.0,-38.23529411764705,0.625,0.5294117647058824,-0.09558823529411764,0.15294117647058822,0.038235294117647055,fractional_kelly,705.7945870464121,999.9999999999999,1,104.71204188481676,-1.0
1491711,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 19:55:13+00:00,2026-03-30 19:55:13+00:00,NO,9.615384615384622,20.032051282051295,10.416666666666673,0.52,0.5,-0.020000000000000018,0.03846153846153849,0.009615384615384623,fractional_kelly,667.559292928765,999.9999999999999,0,124.74409316686805,1.0833333333333333
1659872,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 20:05:09+00:00,2026-03-30 20:05:09+00:00,NO,10.76555023923443,0.0,-10.76555023923443,0.715,0.6842105263157895,-0.030789473684210478,0.04306220095693773,0.010765550239234433,fractional_kelly,657.9439083133803,999.9999999999998,1,124.74409316686805,-1.0
1494664,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 20:31:07+00:00,2026-03-30 20:31:07+00:00,YES,20.114942528735632,154.73032714412025,134.6153846153846,0.13,0.2,0.07,0.08045977011494254,0.020114942528735635,fractional_kelly,647.1783580741459,999.9999999999998,1,279.4744203109883,6.6923076923076925
1492100,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 21:20:35+00:00,2026-03-30 21:20:35+00:00,NO,19.82097186700765,0.0,-19.82097186700765,0.575,0.5294117647058824,-0.045588235294117596,0.07928388746803061,0.019820971867007653,fractional_kelly,627.0634155454103,999.9999999999999,1,0.0,-1.0
1494643,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 22:44:37+00:00,2026-03-30 22:44:37+00:00,YES,100.0,113.63636363636364,13.63636363636364,0.88,1.0,0.12,1.0,0.1,fractional_kelly,607.2424436784027,999.9999999999999,1,113.63636363636364,0.1363636363636364
1770662,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 22:47:47+00:00,2026-03-30 22:47:47+00:00,YES,24.07847800237812,87.55810182682951,63.479623824451394,0.275,0.3448275862068966,0.06982758620689655,0.09631391200951249,0.024078478002378122,fractional_kelly,507.24244367840265,999.9999999999999,1,201.19446546319315,2.636363636363636
1494641,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 22:54:37+00:00,2026-03-30 22:54:37+00:00,YES,27.263007840342105,0.0,-27.263007840342105,0.39,0.45652173913043476,0.06652173913043474,0.10905203136136843,0.027263007840342107,fractional_kelly,483.16396567602453,999.9999999999999,0,201.19446546319315,-1.0
1494644,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 22:55:31+00:00,2026-03-30 22:55:31+00:00,NO,7.372153788727116,0.0,-7.372153788727116,0.705,0.6842105263157895,-0.02078947368421047,0.029488615154908467,0.007372153788727117,fractional_kelly,455.90095783568245,999.9999999999999,1,201.19446546319315,-1.0
1492115,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 22:56:15+00:00,2026-03-30 22:56:15+00:00,YES,100.0,121.21212121212122,21.212121212121218,0.825,1.0,0.17500000000000004,1.0,0.1,fractional_kelly,448.5288040469553,999.9999999999999,1,429.35845833306837,0.21212121212121218
1492119,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-30 22:56:15+00:00,2026-03-30 22:56:15+00:00,NO,100.0,106.951871657754,6.951871657753998,0.065,0.0,-0.065,1.0,0.1,fractional_kelly,348.5288040469553,999.9999999999999,0,429.35845833306837,0.06951871657753998
1492901,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-31 05:05:43+00:00,2026-03-31 05:05:43+00:00,YES,11.820748059280168,25.979666064352017,14.158918005071849,0.455,0.4807692307692308,0.025769230769230766,0.04728299223712068,0.01182074805928017,fractional_kelly,248.52880404695532,999.9999999999999,1,751.6681647911289,1.1978021978021978
1483295,2026-03-29 21:00:00+00:00,2026-03-29 23:00:00+00:00,2026-03-31 20:26:49+00:00,2026-03-31 20:26:49+00:00,NO,100.0,109.89010989010988,9.890109890109883,0.09,0.0,-0.09,1.0,0.1,fractional_kelly,236.70805598767515,999.9999999999999,0,904.1036483903802,0.09890109890109883
