horizon_min,n,raw_predicted_mean,calibrated_predicted_mean,observed_yes_rate,raw_mae,raw_brier,calibrated_mae,calibrated_brier
10,6425,0.4482922178988327,0.450272373540856,0.45027237354085603,0.39696396887159535,0.20041365295719846,0.39770051957043434,0.19885025978521717
30,6373,0.44781743292013176,0.45002353679585755,0.45002353679585755,0.3963430880276166,0.20005426843715676,0.3972629177590288,0.19863145887951436
60,6251,0.44713701807710765,0.44840825467925133,0.44840825467925133,0.39495864661654134,0.19951863057910735,0.39599748425577197,0.197998742127886
120,6113,0.4455361524619663,0.447407165058073,0.447407165058073,0.39342278750204485,0.19831991047767053,0.39413441342511246,0.19706720671255618
180,5928,0.4429234986504723,0.4438259109311741,0.4438259109311741,0.39143007759784076,0.19741312225877192,0.39197500760184395,0.19598750380092197
240,5755,0.44036498696785403,0.4422241529105124,0.4422241529105126,0.3897154648132059,0.19644695886185926,0.3905279094281594,0.1952639547140797
300,5547,0.43744546601766715,0.4402379664683612,0.4402379664683613,0.38662826753199925,0.1947901549486209,0.38679387033360296,0.19339693516680148
360,5365,0.43606616961789374,0.43951537744641195,0.43951537744641195,0.38338639328984153,0.1933433856477167,0.38410090241174927,0.19205045120587463
420,5169,0.43316270071580576,0.43625459469916805,0.4362545946991681,0.37936796285548463,0.1912768506480944,0.3797436167676481,0.18987180838382403
480,4960,0.4295881048387096,0.4342741935483871,0.4342741935483871,0.37482459677419355,0.1889998771169355,0.3754410766826607,0.1877205383413304
540,4765,0.426404721930745,0.4287513116474292,0.4287513116474292,0.37023871983210915,0.18678090204617,0.3709785944924942,0.1854892972462471
600,4574,0.4236646261477919,0.4274158285964146,0.4274158285964145,0.3654055531263664,0.18437082138172278,0.3661368641560452,0.1830684320780226
660,4403,0.41995014762661825,0.42221212809448105,0.42221212809448105,0.3600464456052691,0.1814789622416534,0.36024918535791023,0.18012459267895511
720,4240,0.41640919811320753,0.4179245283018868,0.4179245283018868,0.3546452830188679,0.17863151662735852,0.35461839205396567,0.17730919602698283
780,4105,0.4139518879415347,0.41559074299634596,0.4155907429963459,0.3502200974421437,0.17650084573690622,0.350263774434833,0.1751318872174165
840,3958,0.4108266801414856,0.4146033350176857,0.4146033350176857,0.344844365841334,0.17380638542193028,0.34503802928998195,0.17251901464499098
900,3816,0.4076772798742138,0.41168763102725364,0.41168763102725364,0.3392941561844864,0.17095122254979037,0.3393884285079147,0.1696942142539573
960,3667,0.4036998909190074,0.4095991273520589,0.4095991273520589,0.3334217343877829,0.1682296279656395,0.3336174660573734,0.1668087330286867
1020,3529,0.39954179654293,0.403797109662794,0.403797109662794,0.3267089827146501,0.16470021167469537,0.3268992162240478,0.1634496081120239
1080,3367,0.3950847935847936,0.3985743985743986,0.3985743985743986,0.31900668250668246,0.16091448180873183,0.3191563081799125,0.1595781540899563
1140,3197,0.3909346262120738,0.39318110728808264,0.3931811072880826,0.3109587112918361,0.15675175617766657,0.31070892998689337,0.15535446499344666
1200,3066,0.3868558382257013,0.38943248532289626,0.38943248532289626,0.30349575994781475,0.1530290896934116,0.3033204767724145,0.15166023838620724
1260,2903,0.3800776782638649,0.38236307268343095,0.38236307268343095,0.29305494316224595,0.14797120246296935,0.2927644884289576,0.1463822442144788
1320,2739,0.3736412924424973,0.37458926615553123,0.37458926615553123,0.2816230376049653,0.1424914778203724,0.281584038545735,0.1407920192728675
1380,2589,0.365884897643878,0.36732329084588644,0.36732329084588644,0.26878061027423716,0.13596070355349557,0.2678483763024398,0.1339241881512199
1440,2530,0.36210118577075096,0.3624505928853755,0.3624505928853755,0.26315770750988143,0.13291334841897234,0.261916022797626,0.130958011398813
2880,2202,0.34410899182561305,0.34650317892824706,0.34650317892824706,0.23932379654859218,0.12114662057220708,0.2377431516977492,0.1188715758488746
