category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Technology,60,"[0.6,0.7)",1,0.6,0.0,90280.77259400004
Technology,60,"[0.7,0.8)",1,0.74,1.0,177944.47075699986
Technology,60,"[0.9,1.0]",6,0.9654166666666667,1.0,451950.56896633306
Uncategorized,60,"[0.0,0.1)",100,0.009495,0.01,246768.3861796001
Uncategorized,60,"[0.1,0.2)",10,0.15585,0.2,164185.74071699992
Uncategorized,60,"[0.2,0.3)",22,0.25338636363636363,0.45454545454545453,133621.28191295455
Uncategorized,60,"[0.3,0.4)",18,0.36083333333333334,0.2222222222222222,223605.5066451666
Uncategorized,60,"[0.4,0.5)",39,0.46205128205128204,0.46153846153846156,176054.48237587174
Uncategorized,60,"[0.5,0.6)",701,0.5055206847360914,0.47788873038516405,132160.11885661326
Uncategorized,60,"[0.6,0.7)",16,0.64571875,0.5,376374.2086443136
Uncategorized,60,"[0.7,0.8)",8,0.735,0.375,181202.0076511251
Uncategorized,60,"[0.8,0.9)",4,0.830625,0.5,110851.73845850003
Uncategorized,60,"[0.9,1.0]",33,0.9938030303030304,1.0,207196.08071012117
World,60,"[0.0,0.1)",22,0.014136363636363636,0.0,7095173.167558845
World,60,"[0.1,0.2)",1,0.163,1.0,94835.04484000005
World,60,"[0.3,0.4)",2,0.39,1.0,351483.0366695004
World,60,"[0.4,0.5)",1,0.495,0.0,92225.488424
World,60,"[0.5,0.6)",1,0.56,0.0,178312.6496809999
Crypto,120,"[0.0,0.1)",216,0.009127314814814816,0.0,765465.4631503602
Crypto,120,"[0.1,0.2)",14,0.14032142857142857,0.14285714285714285,248047.04967835703
Crypto,120,"[0.2,0.3)",11,0.22695454545454546,0.18181818181818182,315819.0992918182
Crypto,120,"[0.3,0.4)",9,0.34444444444444444,0.4444444444444444,220968.82525111118
Crypto,120,"[0.4,0.5)",54,0.48453703703703704,0.5740740740740741,141074.5839099629
Crypto,120,"[0.5,0.6)",2682,0.5042011558538404,0.5041014168530947,140096.09624935297
Crypto,120,"[0.6,0.7)",8,0.6453125000000001,0.75,449813.7484308753
Crypto,120,"[0.7,0.8)",6,0.7741666666666668,0.6666666666666666,426692.878882
Crypto,120,"[0.8,0.9)",4,0.847375,0.5,342672.68869500014
Crypto,120,"[0.9,1.0]",71,0.9852464788732395,1.0,583705.2111836908
Culture,120,"[0.0,0.1)",140,0.009214285714285715,0.007142857142857143,519967.82616074936
Culture,120,"[0.1,0.2)",3,0.18983333333333333,0.3333333333333333,1081013.120857665
Culture,120,"[0.2,0.3)",4,0.232875,0.0,1183941.8739557455
Culture,120,"[0.3,0.4)",4,0.32675,0.25,586212.5235427498
Culture,120,"[0.4,0.5)",3,0.455,0.3333333333333333,416508.0843900011
Culture,120,"[0.5,0.6)",7,0.5633571428571429,0.8571428571428571,1056842.6954282841
Culture,120,"[0.6,0.7)",3,0.6591666666666667,1.0,704800.1082083326
Culture,120,"[0.7,0.8)",2,0.7262500000000001,0.5,425624.29505149974
Culture,120,"[0.9,1.0]",7,0.9835,1.0,185889.16751471418
Economy,120,"[0.0,0.1)",66,0.002946969696969697,0.0,4396786.013394473
Economy,120,"[0.1,0.2)",1,0.19,0.0,115256.003502
Economy,120,"[0.3,0.4)",2,0.3625,1.0,428769.5026505004
Economy,120,"[0.4,0.5)",6,0.4558333333333333,0.5,267437.01285716664
Economy,120,"[0.5,0.6)",5,0.529,0.6,202123.98977840008
Economy,120,"[0.6,0.7)",2,0.6074999999999999,0.0,215617.17689299973
