horizon_min,volume_bucket,n,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max
10,Decile 1 (lowest),643,0.010951489180340241,0.003978549540347265,-0.0017345478189128257,0.656298600311042,88431.65343399995,97653.01383199994
10,Decile 2,642,0.009070039493436346,0.003978549540347265,-0.0013348857161185744,0.6884735202492211,97666.63496399978,106881.43025299977
10,Decile 3,643,0.009986303920267982,0.003978549540347265,0.0009609708015555096,0.7340590979782271,106926.299194,117080.93029499936
10,Decile 4,642,0.009305916051222324,0.003978549540347265,0.0011178679406379038,0.7507788161993769,117083.72990699932,129212.42595099966
10,Decile 5,643,0.00922960816197698,0.003978549540347265,0.0020216071407439438,0.7744945567651633,129249.27908200015,144108.27398100015
10,Decile 6,642,0.008797732546441244,0.003978549540347265,6.983707499692873e-06,0.7554517133956387,144108.9833449998,163933.04739499989
10,Decile 7,642,0.011008164945941794,0.003978549540347265,-0.0012266994356085064,0.7242990654205608,164018.97364100002,199565.025801
10,Decile 8,643,0.01823060115439293,0.003978549540347265,-0.004207660484738392,0.6376360808709176,199565.16298600027,300275.0529909999
10,Decile 9,642,0.025588575184073276,0.006021450459652744,-0.005154133707513481,0.5404984423676013,300653.0830789996,621381.3452940036
10,Decile 10 (highest),643,0.0317222367812151,0.013978549540347274,-0.010245911241248556,0.5241057542768274,621410.6510470011,172972056.63332495
30,Decile 1 (lowest),638,0.010816233752572037,0.004093499093499098,-0.002086031929224589,0.6489028213166145,88431.65343399995,97692.75465599968
30,Decile 2,637,0.008579096816828176,0.004093499093499098,-0.0016420078864183688,0.6718995290423861,97693.54966299963,106962.44326299951
30,Decile 3,637,0.00852283027652717,0.004093499093499098,0.0011074157013687188,0.7095761381475667,106962.87608500004,117188.87945699958
30,Decile 4,637,0.008849013507691563,0.004093499093499098,0.0009640908345925357,0.7441130298273155,117215.51321599974,129517.04550800002
30,Decile 5,638,0.008091548430695669,0.004093499093499098,0.002138962478137809,0.774294670846395,129517.13647500006,144386.88338500028
30,Decile 6,637,0.00813269430993397,0.004093499093499098,-0.00041865042797141174,0.7535321821036107,144427.56546799996,164262.091244
30,Decile 7,637,0.010748111512997628,0.004093499093499098,-0.00048503387781151836,0.7127158555729984,164286.5742180004,200257.3924129998
30,Decile 8,637,0.017195023290611015,0.004093499093499098,-0.004332989369319692,0.6342229199372057,200313.79869700025,303121.2360809998
30,Decile 9,637,0.023871464635384317,0.008394833948339508,-0.006007782982968509,0.5070643642072213,303187.61149400024,625282.5868629998
30,Decile 10 (highest),638,0.02930294259131218,0.014093499093499107,-0.011291757741025234,0.5141065830721003,626396.9356580008,172972056.63332495
60,Decile 1 (lowest),626,0.01085263470331346,0.0035695708712614183,-0.0028059964171586365,0.65814696485623,88431.65343399995,97666.63496399978
60,Decile 2,625,0.00895613584670244,0.0035695708712614183,-0.0019753279759762163,0.6768,97667.37895899997,107043.68658100002
60,Decile 3,625,0.008784874130500076,0.0035695708712614183,0.0010473648562061354,0.7168,107062.09093099996,117377.38891199988
60,Decile 4,625,0.008964298902189452,0.0035695708712614183,0.0014536764110325054,0.7568,117387.82122199988,129864.88060300011
60,Decile 5,625,0.008108185451584734,0.0035695708712614183,0.0021675802982519133,0.7808,129872.20044400053,144884.9410450001
60,Decile 6,625,0.008423733975940073,0.0035695708712614183,-6.570430164559039e-05,0.7456,144919.3250659999,165098.11831699984
60,Decile 7,625,0.010558297277643042,0.0035695708712614183,-0.00044948286153976495,0.7328,165167.9320930001,201218.72861199972
60,Decile 8,625,0.01771664199936309,0.0035695708712614183,-0.002259794008499509,0.672,201228.2900600001,305409.8481860004
60,Decile 9,625,0.024142691451523188,0.007727272727272694,-0.002737580282299274,0.5568,305508.47823799966,630465.2449630004
60,Decile 10 (highest),625,0.03050761576300287,0.0164304291287386,-0.007084646124103821,0.5632,630750.8434499997,172972056.63332495
120,Decile 1 (lowest),612,0.009211298699862855,0.001576280471103808,-0.0028196023897193332,0.6372549019607843,88431.65343399995,97705.75495699992
120,Decile 2,611,0.007340276978590363,0.001576280471103808,-0.0027766797487130904,0.6693944353518821,97712.46970499997,107219.90099199997
120,Decile 3,611,0.007560285230650193,0.001576280471103808,-0.0010133627653025389,0.6841243862520459,107227.22746799998,117685.4305099999
120,Decile 4,611,0.007413224914326629,0.001576280471103808,0.00022875560209068276,0.7414075286415712,117698.2853379992,130343.87419999971
120,Decile 5,612,0.006775172323893788,0.001576280471103808,4.1213461238466615e-06,0.7630718954248366,130366.07885399937,145390.25832999995
120,Decile 6,611,0.006405372024429947,0.001576280471103808,-0.0012656092251256534,0.7184942716857611,145438.78667699988,165995.83546399983
120,Decile 7,611,0.008334911321627335,0.001576280471103808,-0.0012960049884895566,0.723404255319149,166005.95907200046,202204.40109799893
120,Decile 8,611,0.015246502121544476,0.001576280471103808,-0.001186351758750489,0.6284779050736498,202226.31045900003,309488.0174829995
120,Decile 9,611,0.02132095019515591,0.0084237195288962,-0.002193333081581358,0.5220949263502455,310193.8803590002,635161.605063
120,Decile 10 (highest),612,0.02878811221469685,0.015000000000000013,-0.006386185581979981,0.5294117647058824,635706.7937249998,172972056.63332495
180,Decile 1 (lowest),593,0.010722378668462628,0.0037405541561712496,-0.0016972192790540928,0.6475548060708263,88431.65343399995,97834.59638100016
180,Decile 2,593,0.008286114708680004,0.0037405541561712496,-0.00011632287976908731,0.6745362563237775,97851.865916,107299.28898200011
180,Decile 3,593,0.008703673318914315,0.0037405541561712496,0.0005935628474985803,0.6930860033726813,107303.22120899972,117806.81967100003
180,Decile 4,592,0.008340548917015678,0.0037405541561712496,0.0018804596991453743,0.7449324324324325,117842.65623699996,130479.14139500004
180,Decile 5,593,0.007651802524119169,0.0037405541561712496,0.0014852233566622606,0.7689713322091062,130484.53161500009,145985.3947259998
180,Decile 6,593,0.0076648774400812775,0.0037405541561712496,0.0003898443956024378,0.730185497470489,146033.64603099987,166571.51606299993
180,Decile 7,592,0.01060665322010467,0.0037405541561712496,-0.00016454169020278943,0.7246621621621622,166656.53974500007,203028.0023289996
180,Decile 8,593,0.01608874069276492,0.0037405541561712496,-0.0007500486362290254,0.6340640809443507,203115.647382,313987.9694390004
180,Decile 9,593,0.023331835940495437,0.009088235294117647,-0.0037666966230789647,0.4856661045531197,314110.79968599987,640212.8634249978
180,Decile 10 (highest),593,0.03006822072149968,0.016259445843828768,-0.006872446826310235,0.5143338954468802,641351.5254000005,172972056.63332495
240,Decile 1 (lowest),576,0.009364748067439326,0.0017930029154519245,-0.00302152044382136,0.6388888888888888,88431.65343399995,98095.83393799992
240,Decile 2,575,0.007854461244469988,0.0017930029154519245,-0.0032701086865156406,0.662608695652174,98112.6661109998,107469.157088
240,Decile 3,576,0.007746330925002614,0.0017930029154519245,-0.001071672817764146,0.6770833333333334,107500.71887000006,118174.29896499972
240,Decile 4,575,0.007201348229502862,0.0017930029154519245,-0.00018477952947660895,0.7356521739130435,118220.44906200006,131123.49112499962
240,Decile 5,576,0.006516053330217577,0.0017930029154519245,0.00015531216148027949,0.7621527777777778,131166.4676169999,146863.46639900014
240,Decile 6,575,0.0063881699669849894,0.0017930029154519245,-0.0011795509811854418,0.7339130434782609,146928.6267499998,168426.01631699968
240,Decile 7,575,0.008818474942618797,0.0017930029154519245,-0.001159407615507873,0.6852173913043478,168490.08575300002,206826.5894040006
240,Decile 8,576,0.01348074886193542,0.0017930029154519245,-0.0012214735344439238,0.609375,206836.29868999988,322056.88636099995
240,Decile 9,575,0.02274371931562412,0.008206997084548084,-0.002310231505053323,0.4956521739130435,322484.4204630001,649054.052956999
240,Decile 10 (highest),576,0.02450381947820217,0.010659090909090915,-0.005326157461457825,0.5017361111111112,649370.9538039993,172972056.63332495
300,Decile 1 (lowest),555,0.00949928140663568,0.0014949710454130738,-0.0031009105979903175,0.6486486486486487,88432.19110999956,98201.25242799985
300,Decile 2,555,0.008590254226250569,0.0014949710454130738,-0.003830677068411352,0.6432432432432432,98214.43023500017,107639.88549599989
300,Decile 3,554,0.006992695775408711,0.0014949710454130738,-0.0012114994304500736,0.6841155234657039,107681.26591599987,118555.48548199976
300,Decile 4,555,0.007845463144606718,0.0014949710454130738,-0.001435154122914356,0.7225225225225225,118571.02001000008,132123.4132850001
300,Decile 5,555,0.006429216427634286,0.0014949710454130738,-0.00022207316194505696,0.7423423423423423,132129.28432300003,148570.3408609997
300,Decile 6,554,0.007084040297845607,0.0014949710454130738,-0.002034261812343079,0.720216606498195,148583.75915899948,170618.81679699983
300,Decile 7,555,0.008919855713481929,0.0014949710454130738,-0.0033305831150624143,0.6666666666666666,170762.16654600005,210976.3050899992
300,Decile 8,554,0.013460925568170792,0.0016666666666667052,-0.00219731528648285,0.6209386281588448,211009.22331499984,334160.6735170003
300,Decile 9,555,0.022942383226019856,0.008505028954586935,-0.0033366657340704957,0.5225225225225225,334617.3126600003,676484.4567290006
300,Decile 10 (highest),555,0.024397538168336678,0.011494971045413083,-0.007220576925337153,0.518918918918919,677047.8996270108,172972056.63332495
360,Decile 1 (lowest),537,0.009437362977640312,0.00015190691661282063,-0.00466007277679992,0.6238361266294227,88432.19110999956,98214.43023500017
360,Decile 2,536,0.008660930790831363,0.00015190691661282063,-0.004662755603976275,0.6194029850746269,98234.50994099976,107762.81570900002
360,Decile 3,537,0.00746835228495077,0.00015190691661282063,-0.0031520347379330217,0.6629422718808193,107855.96399199976,118843.30919599978
360,Decile 4,536,0.006368811033262441,0.00015190691661282063,-0.001623971279827713,0.7164179104477612,118852.31544399985,132708.85660999993
360,Decile 5,537,0.006269829182320408,0.00015190691661282063,-0.0014630279812194297,0.7392923649906891,132732.5917869998,149354.67323999983
360,Decile 6,536,0.0055159072021883975,0.00015190691661282063,-0.0023999874483306444,0.7182835820895522,149359.23696399995,172527.84156999958
360,Decile 7,536,0.009687562807669662,0.0005,-0.0038313364699179325,0.6492537313432836,172600.85523000025,216362.3741489997
360,Decile 8,537,0.013991437761155672,0.002,-0.0028029629721363996,0.5940409683426443,216374.3578990001,342148.3327320001
360,Decile 9,536,0.023436847253394434,0.01015190691661283,-0.002744310779251737,0.5111940298507462,342182.14203400014,689903.4105250001
360,Decile 10 (highest),537,0.02403620509751186,0.010238095238095227,-0.0071479242366054695,0.515828677839851,689942.2988790005,172972056.63332495
420,Decile 1 (lowest),517,0.010470437242090753,0.0029409746053534747,-0.0030523039172952186,0.6344294003868471,88432.19110999956,98174.77404899996
420,Decile 2,517,0.009264025597389036,0.0029409746053534747,-0.002458951365195969,0.6382978723404256,98201.25242799985,107855.96399199976
420,Decile 3,517,0.009089931986126032,0.0029409746053534747,-0.002705994203710891,0.6441005802707931,107883.42173099988,119032.48381899927
420,Decile 4,517,0.008725060990853835,0.0029409746053534747,-0.0006702856810197023,0.7098646034816247,119047.90504899972,133172.97355199963
420,Decile 5,517,0.007584862834897028,0.0029409746053534747,0.0006458154159271144,0.7408123791102514,133220.28559299948,150872.7827400001
420,Decile 6,516,0.008095174438479512,0.0029409746053534747,-0.001728699120122267,0.6918604651162791,150881.8531509996,175845.64462200005
420,Decile 7,517,0.01088938786431084,0.0029409746053534747,-0.002850893398120625,0.6479690522243714,175855.30056499952,221706.31489
420,Decile 8,517,0.015201947196662008,0.0029409746053534747,-0.004612253110686845,0.5822050290135397,221737.99032400048,354011.2814490003
420,Decile 9,517,0.024715216465575774,0.00865384615384615,-0.00465992131567709,0.5164410058027079,355074.23200400017,705993.4442159995
420,Decile 10 (highest),517,0.025643071471034805,0.012239819004524866,-0.008822816397174128,0.4932301740812379,706428.3342010011,172972056.63332495
480,Decile 1 (lowest),496,0.009432099032054924,0.00018902891030392333,-0.004940220608451039,0.125,88436.76449999989,97973.076203
480,Decile 2,496,0.007994755818874249,0.00018902891030392333,-0.005058479601425044,0.12903225806451613,97973.58892599998,107620.71272500003
480,Decile 3,496,0.007824171108759609,0.00018902891030392333,-0.004676498397796083,0.14516129032258066,107639.85415000004,119072.74089699928
480,Decile 4,496,0.006906050520268481,0.00018902891030392333,-0.002976998183244956,0.15725806451612903,119077.92187799978,133388.9271079998
480,Decile 5,496,0.006684220657963338,0.00018902891030392333,-0.0027212202232604144,0.14919354838709678,133406.5832409998,151739.89625300004
480,Decile 6,496,0.006049539250652541,0.00018902891030392333,-0.003317737062863062,0.16330645161290322,151770.78131000008,178797.785307
480,Decile 7,496,0.009409739932942486,0.0005,-0.0038746705125110538,0.27419354838709675,178832.62642799993,225789.6410329998
480,Decile 8,496,0.01463971028155784,0.0025,-0.005203066875775831,0.4012096774193548,225839.51558299983,371604.6787160001
480,Decile 9,496,0.022621399099000853,0.010189028910303932,-0.005371023559273174,0.45564516129032256,371972.8935900005,728266.996192
