horizon_min,volume_bucket,n,mean_abs_isotonic_gap,std_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max,mean_abs_gap_ci95_low,mean_abs_gap_ci95_high,rank_abs_gap_within_horizon,is_lowest_abs_gap_within_horizon,is_highest_abs_gap_within_horizon
10,Decile 1 (lowest),643,0.010951489180340241,0.02382552637340118,-0.0017345478189128257,0.656298600311042,88431.65343399995,97653.01383199994,0.009109898582132602,0.01279307977854788,6,False,False
10,Decile 2,642,0.009070039493436346,0.020952779926602362,-0.0013348857161185744,0.6884735202492211,97666.63496399978,106881.43025299977,0.007449236579487801,0.01069084240738489,2,False,False
10,Decile 3,643,0.009986303920267982,0.021500846206571514,0.0009609708015555096,0.7340590979782271,106926.299194,117080.93029499936,0.008324399137684242,0.011648208702851721,5,False,False
10,Decile 4,642,0.009305916051222324,0.0207241641948894,0.0011178679406379038,0.7507788161993769,117083.72990699932,129212.42595099966,0.007702797713995001,0.010909034388449647,4,False,False
10,Decile 5,643,0.00922960816197698,0.02064027065150758,0.0020216071407439438,0.7744945567651633,129249.27908200015,144108.27398100015,0.007634221441845047,0.010824994882108915,3,False,False
10,Decile 6,642,0.008797732546441244,0.02035104983857102,6.983707499692873e-06,0.7554517133956387,144108.9833449998,163933.04739499989,0.007223476481336058,0.01037198861154643,1,True,False
10,Decile 7,642,0.011008164945941794,0.02344535746349042,-0.0012266994356085064,0.7242990654205608,164018.97364100002,199565.025801,0.009194548622546728,0.012821781269336861,7,False,False
10,Decile 8,643,0.01823060115439293,0.030480185795318134,-0.004207660484738392,0.6376360808709176,199565.16298600027,300275.0529909999,0.01587463962336268,0.020586562685423183,8,False,False
10,Decile 9,642,0.025588575184073276,0.03427846738081845,-0.005154133707513481,0.5404984423676013,300653.0830789996,621381.3452940036,0.02293696332105831,0.028240187047088243,9,False,False
10,Decile 10 (highest),643,0.0317222367812151,0.03621084048363503,-0.010245911241248556,0.5241057542768274,621410.6510470011,172972056.63332495,0.028923325128950135,0.034521148433480066,10,False,True
30,Decile 1 (lowest),638,0.010816233752572037,0.022446546115012084,-0.002086031929224589,0.6489028213166145,88431.65343399995,97692.75465599968,0.009074445901998615,0.01255802160314546,7,False,False
30,Decile 2,637,0.008579096816828176,0.01854230824226844,-0.0016420078864183688,0.6718995290423861,97693.54966299963,106962.44326299951,0.007139137733964478,0.010019055899691874,4,False,False
30,Decile 3,637,0.00852283027652717,0.01719385686144333,0.0011074157013687188,0.7095761381475667,106962.87608500004,117188.87945699958,0.007187589268039613,0.009858071285014727,3,False,False
30,Decile 4,637,0.008849013507691563,0.01860073062512651,0.0009640908345925357,0.7441130298273155,117215.51321599974,129517.04550800002,0.007404517457814921,0.010293509557568206,5,False,False
30,Decile 5,638,0.008091548430695669,0.01689215658622126,0.002138962478137809,0.774294670846395,129517.13647500006,144386.88338500028,0.006780765339118545,0.009402331522272793,1,True,False
30,Decile 6,637,0.00813269430993397,0.016994853580386268,-0.00041865042797141174,0.7535321821036107,144427.56546799996,164262.091244,0.006812907503713668,0.009452481116154272,2,False,False
30,Decile 7,637,0.010748111512997628,0.020950432448529916,-0.00048503387781151836,0.7127158555729984,164286.5742180004,200257.3924129998,0.009121142254369215,0.012375080771626041,6,False,False
30,Decile 8,637,0.017195023290611015,0.027418780985163125,-0.004332989369319692,0.6342229199372057,200313.79869700025,303121.2360809998,0.015065734843629296,0.019324311737592734,8,False,False
