category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Technology,720,97,97,0.1446701030927835,0.2268041237113402,0.1794639175257732,0.10979676288659793,-0.0821340206185567,327531.3654151449
Economy,720,78,78,0.11290384615384615,0.1282051282051282,0.036032051282051274,0.01839528525641025,-0.01530128205128205,3800762.876816362
World,720,27,27,0.09024074074074075,0.1111111111111111,0.12727777777777777,0.07019136111111109,-0.020870370370370366,5820820.331206614
Science,720,2,2,0.17400000000000002,0.0,0.17400000000000002,0.057666249999999995,0.17400000000000002,201680.56840049993
Crypto,780,1699,1699,0.45737198351971753,0.4543849323131254,0.4179228958210712,0.20809514773396115,0.002987051206592116,246939.49184398275
Sports,780,1340,1340,0.4661361940298508,0.47388059701492535,0.352569776119403,0.1791965800373134,-0.007744402985074621,675856.5945910534
Uncategorized,780,537,537,0.4308482309124767,0.409683426443203,0.3827513966480447,0.19478588221601487,0.021164804469273747,173568.3304442756
Culture,780,167,167,0.10244910179640719,0.11976047904191617,0.08222155688622755,0.039783272455089815,-0.01731137724550898,568767.208299137
Politics,780,158,158,0.14502215189873416,0.1518987341772152,0.07552215189873417,0.03702030537974683,-0.00687658227848101,2090647.4279143421
Technology,780,97,97,0.14915463917525773,0.2268041237113402,0.18022680412371134,0.10811132474226803,-0.07764948453608247,327531.3654151449
Economy,780,78,78,0.11440384615384616,0.1282051282051282,0.036801282051282046,0.018961368589743583,-0.013801282051282048,3800762.876816362
World,780,27,27,0.08955555555555555,0.1111111111111111,0.11955555555555557,0.061623944444444446,-0.02155555555555555,5820820.331206614
Science,780,2,2,0.18875,0.0,0.18875,0.068116625,0.18875,201680.56840049993
Crypto,840,1587,1587,0.45480245746691866,0.4543163201008192,0.4122164461247637,0.20511997306238183,0.0004861373660995614,255349.2253558177
Sports,840,1336,1336,0.46589296407185626,0.47380239520958084,0.3522447604790419,0.17924938248502992,-0.007909431137724545,676721.1373126555
Uncategorized,840,506,506,0.4264189723320158,0.41106719367588934,0.3758794466403162,0.19137111561264822,0.015351778656126485,176568.89853655535
Culture,840,167,167,0.10383233532934132,0.11976047904191617,0.0854311377245509,0.041887422155688615,-0.015928143712574852,568767.208299137
