horizon_min,volume_bucket,n,mae,mean_staleness_min,median_staleness_min,p90_staleness_min,mean_volatility_std,mean_volatility_range,mean_horizon_count_used,decile_volume_min,decile_volume_max
10,Decile 1 (lowest),643,0.44061119751166405,137.70520995334368,9.366666666666667,19.183333333333334,0.008704165573641247,0.030625194401244168,16.398133748055987,88431.65343399995,97653.01383199994
10,Decile 2,642,0.4467336448598131,205.63753894081,9.383333333333333,19.166666666666668,0.00482207118205169,0.016252336448598134,16.021806853582554,97666.63496399978,106881.43025299977
10,Decile 3,643,0.4398654743390358,271.81047174701916,9.366666666666667,19.15,0.00783480978489872,0.027057542768273716,16.157076205287712,106926.299194,117080.93029499936
10,Decile 4,642,0.44721028037383176,301.9201194184839,9.35,19.064999999999998,0.004216054687834814,0.015290498442367604,15.403426791277258,117083.72990699932,129212.42595099966
10,Decile 5,643,0.4483864696734059,267.7739761534474,9.383333333333333,19.116666666666667,0.004750145861767871,0.01632270606531882,15.345256609642302,129249.27908200015,144108.27398100015
10,Decile 6,642,0.43491121495327106,368.9414070612669,9.383333333333333,19.133333333333333,0.003920039929691414,0.01357165109034268,16.462616822429908,144108.9833449998,163933.04739499989
10,Decile 7,642,0.40822352024922115,598.9431983385255,9.4,29.066666666666663,0.008067781851089998,0.027216510903426794,17.82398753894081,164018.97364100002,199565.025801
10,Decile 8,643,0.3372628304821151,879.1326334888544,9.383333333333333,3385.540000000022,0.012340585935899427,0.04304121306376361,20.66407465007776,199565.16298600027,300275.0529909999
10,Decile 9,642,0.2829330218068536,943.0250000000001,9.4,3989.395,0.022617270033416344,0.07871573208722743,23.786604361370717,300653.0830789996,621381.3452940036
10,Decile 10 (highest),643,0.28355676516329703,634.8828926905132,9.366666666666667,47.06333333333402,0.018138880462915993,0.06682737169517886,24.86936236391913,621410.6510470011,172972056.63332495
30,Decile 1 (lowest),638,0.44041144200626964,136.8882183908046,9.333333333333334,19.08333333333333,0.008777480429612815,0.030880877742946712,16.5846394984326,88431.65343399995,97692.75465599968
30,Decile 2,637,0.4465682888540031,205.42148090005233,9.333333333333334,19.05,0.004854812635220615,0.01636420722135008,16.102040816326532,97693.54966299963,106962.44326299951
30,Decile 3,637,0.4396405023547881,272.6422815279958,9.333333333333334,19.073333333333327,0.007992738327994641,0.027559654631083206,16.406593406593405,106962.87608500004,117188.87945699958
30,Decile 4,637,0.44691915227629514,303.2653584510727,9.35,19.066666666666663,0.004224199954191818,0.015335949764521196,15.71585557299843,117215.51321599974,129517.04550800002
30,Decile 5,638,0.44778840125391856,268.54644723092997,9.333333333333334,19.03333333333333,0.00473524226873552,0.01629780564263323,15.296238244514107,129517.13647500006,144386.88338500028
30,Decile 6,637,0.4331742543171115,382.2124803767661,9.366666666666667,19.066666666666663,0.003951272220913278,0.013676609105180534,16.67032967032967,144427.56546799996,164262.091244
