horizon_min,n,raw_predicted_mean,lowess_predicted_mean,observed_yes_rate,raw_mae,raw_brier,lowess_mae,lowess_brier,lowess_frac
10,6425,0.4482922178988327,0.4732609874426054,0.45027237354085603,0.39696396887159535,0.20041365295719846,0.3987322491476366,0.20021275946916792,0.2
30,6373,0.44781743292013176,0.46150126780698425,0.45002353679585755,0.3963430880276166,0.20005426843715676,0.3992353425588083,0.19952558958122443,0.2
60,6251,0.44713701807710765,0.4503202438550001,0.44840825467925133,0.39495864661654134,0.19951863057910735,0.39728463166600786,0.19867846539773723,0.2
120,6113,0.4455361524619663,0.47381351391316745,0.447407165058073,0.39342278750204485,0.19831991047767053,0.39572755211094557,0.19874836283024017,0.2
180,5928,0.4429234986504723,0.4712713619194246,0.4438259109311741,0.39143007759784076,0.19741312225877192,0.39274814562770827,0.1979644702873472,0.2
240,5755,0.44036498696785403,0.4677680704927274,0.4422241529105126,0.3897154648132059,0.19644695886185926,0.39112742904013387,0.19684987253793332,0.2
300,5547,0.43744546601766715,0.4903429133785916,0.4402379664683613,0.38662826753199925,0.1947901549486209,0.3890123234403651,0.19805193874566698,0.2
360,5365,0.43606616961789374,0.44292949540107934,0.43951537744641195,0.38338639328984153,0.1933433856477167,0.3854715834281847,0.19288797392988685,0.2
420,5169,0.43316270071580576,0.47022903666331556,0.4362545946991681,0.37936796285548463,0.1912768506480944,0.3808002372830955,0.19235818531120102,0.2
480,4960,0.4295881048387096,0.4763308183318518,0.4342741935483871,0.37482459677419355,0.1889998771169355,0.376580477046417,0.19160435502478654,0.2
540,4765,0.426404721930745,0.4639444736892049,0.4287513116474292,0.37023871983210915,0.18678090204617,0.3724786857662589,0.18836945842591668,0.2
600,4574,0.4236646261477919,0.44153393200134256,0.4274158285964145,0.3654055531263664,0.18437082138172278,0.36853486398109675,0.1843418003384997,0.2
660,4403,0.41995014762661825,0.4403030570504729,0.42221212809448105,0.3600464456052691,0.1814789622416534,0.36211233555124367,0.18140595960872677,0.2
720,4240,0.41640919811320753,0.4389631583822368,0.4179245283018868,0.3546452830188679,0.17863151662735852,0.3564204335859598,0.1791874562890115,0.2
780,4105,0.4139518879415347,0.4202293719552424,0.4155907429963459,0.3502200974421437,0.17650084573690622,0.35343231215756976,0.17622454838962176,0.2
840,3958,0.4108266801414856,0.4321517609866307,0.4146033350176857,0.344844365841334,0.17380638542193028,0.3456525246859489,0.17411033599472941,0.2
900,3816,0.4076772798742138,0.42180356726836876,0.41168763102725364,0.3392941561844864,0.17095122254979037,0.34186051222213326,0.17085586551114929,0.2
960,3667,0.4036998909190074,0.4088194429839626,0.4095991273520589,0.3334217343877829,0.1682296279656395,0.33463184232121973,0.16792721121635001,0.2
1020,3529,0.39954179654293,0.39670575282585563,0.403797109662794,0.3267089827146501,0.16470021167469537,0.32858644806247533,0.16459304095741442,0.2
1080,3367,0.3950847935847936,0.3906994597700091,0.3985743985743986,0.31900668250668246,0.16091448180873183,0.31947359275838455,0.16080524649371963,0.2
1140,3197,0.3909346262120738,0.39629930782518646,0.3931811072880826,0.3109587112918361,0.15675175617766657,0.31105804025764544,0.15686074015569054,0.2
1200,3066,0.3868558382257013,0.39123787315906644,0.38943248532289626,0.30349575994781475,0.1530290896934116,0.3029141990856197,0.1530640779507883,0.2
1260,2903,0.3800776782638649,0.3741714744003073,0.38236307268343095,0.29305494316224595,0.14797120246296935,0.29337842246764817,0.1479100814651934,0.2
1320,2739,0.3736412924424973,0.37345901661798125,0.37458926615553123,0.2816230376049653,0.1424914778203724,0.2847653646945721,0.14240833961135066,0.2
1380,2589,0.365884897643878,0.36284328559918255,0.36732329084588644,0.26878061027423716,0.13596070355349557,0.2690407781081139,0.13580865104034762,0.2
1440,2530,0.36210118577075096,0.36634367049602573,0.3624505928853755,0.26315770750988143,0.13291334841897234,0.2655869547678508,0.13274260920757883,0.2
2880,2202,0.34410899182561305,0.3509634450678415,0.34650317892824706,0.23932379654859218,0.12114662057220708,0.24156479538400077,0.12084248278627596,0.2
